No. (NEW),Nama Perguruan Tinggi (NEW),Program Studi (NEW),Akreditasi (NEW REVISI),Program Studi  Kategori (NEW),Jenis Perguruan Tinggi (NEW),Provinsi (NEW),Lokasi (NEW),Daya Tampung 2025/2026 (NEW),Biaya UKT Terendah (REVISI),Biaya UKT Tertinggi (REVISI),Kisaran Biaya UKT (NEW),Biaya Lainnya Terendah (REVISI),Biaya Lainnya Tertinggi (REVISI)
126,Universitas Tanjungpura,Farmasi,B,Farmasi,Negeri,Kalimantan Barat,Pontianak,96,500000,16300000,Rp500.000 - Rp16.300.000,0,0
127,Universitas Negeri Gorontalo,Kedokteran,Baik,Kedokteran,Negeri,Gorontalo,Gorontalo,55,500000,25000000,Rp500.000 - Rp25.000.000,0,0
128,Universitas Muhammadiyah Semarang,Kedokteran,Unggul ,Kedokteran,Swasta,Jawa Tengah,Jawa Tengah,193,24000000,24000000,Rp24.000.000,338500000,460000000
129,Universitas Islam Negeri Maulana Malik Ibrahim Malang,Pendidikan Dokter,Unggul ,Kedokteran,Negeri,Jawa Timur,Malang,75,400000,32641700,Rp400.000 - Rp32.641.700,0,0
130,"Universitas Pembangunan Nasional ""Veteran"" Jakarta",Kedokteran,Unggul ,Kedokteran,Negeri,DKI Jakarta,Jakarta Selatan,41,500000,22300000,Rp500.000 - Rp22.300.000,0,0
131,Universitas Pendidikan Ganesha,Kebidanan,Baik Sekali,Kebidanan,Negeri,Bali,Singaraja,40,500000,12500000,Rp500.000 - Rp12.500.000,20000000,20000000
132,Universitas Pendidikan Ganesha,Keperawatan,Baik,Keperawatan,Negeri,Bali,Singaraja,40,500000,12500000,Rp500.000 - Rp12.500.001,20000000,20000000
133,Universitas Pendidikan Ganesha,Kedokteran,Baik Sekali,Kedokteran,Negeri,Bali,Singaraja,150,500000,21389000,Rp500.000 - Rp21.389.000,300000000,300000000
134,Universitas Malahayati,Kedokteran,Baik Sekali,Kedokteran,Swasta,Lampung,Lampung,100,15000000,50000000,Rp15.000.000 - Rp50.000.000,52500000,62500000
135,Universitas Swadaya Gunung Jati Cirebon,Kedokteran,B,Kedokteran,Swasta,Jawa Barat,Cirebon,100,3000000,12000000,Rp3.000.000 - Rp12.000.000,0,0
136,Universitas Tadulako,Kedokteran,Baik Sekali,Kedokteran,Negeri,Sulawesi Tengah,Palu,20,500000,25000000,Rp500.000 - Rp25.000.000,350000000,350000000
137,Universitas Abulyatama,Kedokteran,Baik Sekali,Kedokteran,Swasta,Aceh,Aceh,100,12000000,12000000,Rp12.000.000,250000000,300000000
138,Universitas Islam Sumatera Utara,Kedokteran,Baik Sekali,Kedokteran,Swasta,Sumatera Utara,Medan,80,30000000,30000000,Rp30.000.000,240000000,240000000
139,Universitas Islam Malang,Pendidikan Dokter,Baik Sekali,Kedokteran,Swasta,Jawa Timur,Malang,100,4000000,20000000,Rp4.000.000 - Rp20.000.000,5000000,7000000
140,Universitas Islam Malang,Farmasi,C,Farmasi,Swasta,Jawa Timur,Malang,120,3500000,15000000,Rp3.500.000 - Rp15.000.000,5000000,7000000
141,Universitas Tanjung Pura,Kedokteran,Baik Sekali,Kedokteran,Negeri,Kalimantan Barat,Pontianak,30,500000,20000000,Rp500.000 - Rp20.000.000,500000,4000000
